"device_id","timestamp","sensor_type","value","unit"
"humidity_sensor_001","2024-11-12T23:41:05.028140+00:00","humidity","45.42","Percent"
"humidity_sensor_001","2024-11-12T23:41:18.538619+00:00","humidity","41.97","Percent"
"humidity_sensor_001","2024-11-12T23:41:33.532899+00:00","humidity","67.84","Percent"
"humidity_sensor_001","2024-11-12T23:41:36.696926+00:00","humidity","59.26","Percent"
"humidity_sensor_001","2024-11-12T23:41:49.708871+00:00","humidity","66.93","Percent"
"humidity_sensor_001","2024-11-12T23:41:57.053009+00:00","humidity","43.26","Percent"
"humidity_sensor_001","2024-11-12T23:42:02.428220+00:00","humidity","66.44","Percent"
"humidity_sensor_001","2024-11-12T23:42:08.306003+00:00","humidity","37.75","Percent"
"humidity_sensor_001","2024-11-12T23:42:13.248224+00:00","humidity","66.01","Percent"
"humidity_sensor_001","2024-11-12T23:42:21.176901+00:00","humidity","68.2","Percent"
"humidity_sensor_001","2024-11-12T23:42:26.897630+00:00","humidity","49.85","Percent"
"humidity_sensor_001","2024-11-12T23:42:29.290408+00:00","humidity","68.05","Percent"
"humidity_sensor_001","2024-11-12T23:42:34.014320+00:00","humidity","31.96","Percent"
"humidity_sensor_001","2024-11-12T23:42:39.148089+00:00","humidity","33.54","Percent"
"humidity_sensor_001","2024-11-12T23:42:43.871241+00:00","humidity","51.31","Percent"
"humidity_sensor_001","2024-11-12T23:42:48.823351+00:00","humidity","66.44","Percent"
"humidity_sensor_001","2024-11-12T23:42:54.040936+00:00","humidity","55.73","Percent"
"humidity_sensor_001","2024-11-12T23:42:59.384724+00:00","humidity","64.9","Percent"
"humidity_sensor_001","2024-11-12T23:43:08.050583+00:00","humidity","56.46","Percent"
"humidity_sensor_001","2024-11-12T23:43:13.194860+00:00","humidity","41.69","Percent"
"humidity_sensor_001","2024-11-12T23:43:15.593645+00:00","humidity","37.8","Percent"
"humidity_sensor_001","2024-11-12T23:43:20.410423+00:00","humidity","44.53","Percent"
"humidity_sensor_001","2024-11-12T23:43:28.403447+00:00","humidity","37.04","Percent"
